#{"t_start": 1680826628.4374292, "env_id": "JPEGEncode-v0"}
r,l,t
4331050.0,12,8.613467
5527221.0,12,8.709054
4876663.0,12,8.80845
6385165.0,12,8.90251
5751385.0,12,8.997558
4297191.0,12,9.093152
8126703.0,12,9.188299
3864718.0,12,9.282186
5103069.0,12,9.378105
6080228.0,12,9.473031
5022387.0,12,9.566751
6996619.0,12,9.661663
5301039.0,12,9.756904
4002588.0,12,9.853137
4748027.0,12,9.944933
4385557.0,12,10.044273
6477093.0,12,10.140839
6021990.0,12,10.237579
5566544.0,12,10.333698
4233672.0,12,10.430992
5472584.0,12,10.53049
3574308.0,12,10.625788
4778234.0,12,10.720525
4545370.0,12,10.823053
5070706.0,12,10.918287
6944202.0,12,11.01504
3429186.0,12,11.110421
4648338.0,12,11.20367
3082401.0,12,11.300958
5729016.0,12,11.395971
4683509.0,12,11.488422
2357808.0,12,11.582425
73.0,12,11.677437
6492517.0,12,11.772034
5331035.0,12,11.860492
3611648.0,12,11.950669
5909273.0,12,12.040425
4669514.0,12,12.131119
5536325.0,12,12.219463
4628275.0,12,12.310133
4618532.0,12,12.398448
4881224.0,12,12.486344
4022391.0,12,12.574856
9427570.0,12,12.663308
5866724.0,12,12.756238
3568405.0,12,12.846081
2764594.0,12,12.934382
5723974.0,12,13.025688
5430168.0,12,13.114703
5249601.0,12,13.205035
5865607.0,12,13.296569
3243605.0,12,13.388946
6990733.0,12,13.474188
4934887.0,12,13.563698
5585254.0,12,13.651052
4858217.0,12,13.741779
4663387.0,12,13.830504
6557343.0,12,13.919025
4609547.0,12,14.006038
4541530.0,12,14.093297
6519931.0,12,14.182277
6170397.0,12,14.271744
5729376.0,12,14.36053
8173645.0,12,14.447859
0.0,12,14.536337
6197126.0,12,14.62777
4449843.0,12,14.715347
4802882.0,12,14.804927
5706900.0,12,14.889635
5548378.0,12,14.972692
4184716.0,12,15.054
11450366.0,12,15.132091
5769550.0,12,15.214097
1965932.0,12,15.294379
5407476.0,12,15.373983
7721647.0,12,15.453761
6679116.0,12,15.538942
4166241.0,12,15.626626
5193224.0,12,15.713896
11572370.0,12,15.801566
4178916.0,12,15.888684
3867399.0,12,15.973637
668598.0,12,16.061762
188.0,12,16.148421
4647887.0,12,16.235362
0.0,12,28.509248
10937946.0,12,28.602741
3277763.0,12,28.695762
1129816.0,12,28.789541
5734262.0,12,28.883622
5933074.0,12,28.975338
4542812.0,12,29.070315
9869124.0,12,29.16679
5601216.0,12,29.264392
9474307.0,12,29.36509
8631818.0,12,29.460499
6777062.0,12,29.555692
4193198.0,12,29.651559
4316098.0,12,29.748541
4334803.0,12,29.843286
8893103.0,12,29.936731
9846831.0,12,30.032108
7132693.0,12,30.124576
5821105.0,12,30.218042
6671368.0,12,30.313199
6561540.0,12,30.409427
8072992.0,12,30.510551
5696948.0,12,30.602616
8023552.0,12,30.695358
6265085.0,12,30.790161
5158167.0,12,30.885592
7247487.0,12,30.982979
5858281.0,12,31.078506
8407321.0,12,31.174762
5056407.0,12,31.268472
7048135.0,12,31.362968
6114506.0,12,31.457194
3222970.0,12,31.552408
5862677.0,12,31.647799
5162192.0,12,31.741831
2785270.0,12,31.837232
6320238.0,12,31.930061
5934393.0,12,32.026494
8291385.0,12,32.12339
4625484.0,12,32.219378
1980966.0,12,32.316283
5261406.0,12,32.412248
6093933.0,12,32.503932
0.0,12,32.59634
1794877.0,12,32.691216
5079530.0,12,32.7844
6033471.0,12,32.880274
7140556.0,12,32.976464
5128587.0,12,33.072392
6942074.0,12,33.166867
5680408.0,12,33.260856
4640684.0,12,33.356567
4967352.0,12,33.455826
3930646.0,12,33.552464
9304584.0,12,33.647987
5835319.0,12,33.742593
4725655.0,12,33.833834
4013401.0,12,33.927333
6908323.0,12,34.02122
9579110.0,12,34.114602
5338074.0,12,34.20885
5682768.0,12,34.305966
5861849.0,12,34.39858
6760907.0,12,34.4923
4909967.0,12,34.586257
5270399.0,12,34.680273
6114341.0,12,34.775561
8463728.0,12,34.869179
8935230.0,12,34.970073
6263555.0,12,35.065875
5135581.0,12,35.164082
4950257.0,12,35.262451
10066382.0,12,35.360207
4111051.0,12,35.45328
6194482.0,12,35.546929
4525210.0,12,35.641716
2355038.0,12,35.736678
3302452.0,12,35.829948
4224875.0,12,35.925867
12141297.0,12,36.019833
7898100.0,12,36.112397
4754050.0,12,36.204924
4978841.0,12,36.299853
7167155.0,12,36.393537
6727914.0,12,36.488792
7693241.0,12,48.599026
242266.0,12,48.686246
1774922.0,12,48.774656
7909192.0,12,48.86265
5639094.0,12,48.952121
447369.0,12,49.043328
4675051.0,12,49.133061
5196118.0,12,49.222667
6238806.0,12,49.310164
7802273.0,12,49.40008
4572337.0,12,49.488406
5636197.0,12,49.577305
4339472.0,12,49.666737
7757170.0,12,49.754974
3672999.0,12,49.843027
7691436.0,12,49.929547
5929948.0,12,50.015674
9014668.0,12,50.106762
4061473.0,12,50.197695
7042726.0,12,50.287311
8534263.0,12,50.373821
6685158.0,12,50.466442
4622763.0,12,50.556884
4391742.0,12,50.646876
2644571.0,12,50.73907
7619859.0,12,50.827644
4024140.0,12,50.916286
6223543.0,12,51.004485
1475501.0,12,51.095649
5082308.0,12,51.183749
5867121.0,12,51.276708
3455056.0,12,51.362731
5845060.0,12,51.452634
5884795.0,12,51.545537
4653227.0,12,51.636775
8549259.0,12,51.725322
1837194.0,12,51.814137
10159448.0,12,51.902027
7606761.0,12,52.245342
4921428.0,12,52.348819
4063316.0,12,52.44592
4923257.0,12,52.542424
5905866.0,12,52.641384
10708750.0,12,52.740557
6495052.0,12,52.838892
3801805.0,12,52.935401
5520211.0,12,53.030786
7079066.0,12,53.127165
4702969.0,12,53.219985
4068379.0,12,53.313853
5634246.0,12,53.407722
4603774.0,12,53.502756
4163452.0,12,53.596705
8117705.0,12,53.690085
11982480.0,12,53.784919
8964161.0,12,53.877838
5102852.0,12,53.973021
4934183.0,12,54.069443
10093101.0,12,54.165306
10907845.0,12,54.260397
3175148.0,12,54.353667
8110726.0,12,54.449522
0.0,12,54.546151
3422558.0,12,54.641333
5131773.0,12,54.737744
8486374.0,12,54.833015
5177385.0,12,54.930632
1867850.0,12,55.025456
5408568.0,12,55.121085
3178814.0,12,55.21871
7503793.0,12,55.3171
4282557.0,12,55.413957
5519431.0,12,55.514267
3516874.0,12,55.611236
3778766.0,12,55.705908
6880321.0,12,55.800555
5148702.0,12,55.898967
6965346.0,12,55.996318
5848919.0,12,56.096422
4266058.0,12,56.193502
8395100.0,12,56.290196
2590177.0,12,56.388439
6768541.0,12,56.482311
1702718.0,12,56.575407
5617865.0,12,56.669315
4994316.0,12,56.76452
9649837.0,12,68.726289
6033987.0,12,68.815244
6305531.0,12,68.908345
7559108.0,12,69.00467
3586784.0,12,69.096676
6154363.0,12,69.184227
7052863.0,12,69.271754
6819013.0,12,69.360537
4125993.0,12,69.450365
8583784.0,12,69.536809
4410991.0,12,69.624203
6178495.0,12,69.710737
4328864.0,12,69.799566
10296893.0,12,69.887593
10297979.0,12,69.979708
7623250.0,12,70.067052
7308999.0,12,70.153979
6243299.0,12,70.244791
5709756.0,12,70.338188
7971884.0,12,70.428675
10290604.0,12,70.522946
4628305.0,12,70.610525
6622801.0,12,70.70233
5862259.0,12,70.794052
4251640.0,12,70.885112
3395115.0,12,70.973226
4107177.0,12,71.061788
3460448.0,12,71.141892
8394996.0,12,71.222258
6258435.0,12,71.304807
4294408.0,12,71.383444
12043235.0,12,71.462787
4291569.0,12,71.545329
3356670.0,12,71.624121
9277233.0,12,71.708154
3940711.0,12,71.791314
7080336.0,12,71.870715
5631382.0,12,71.95438
6600557.0,12,72.034533
6500775.0,12,72.1169
3964703.0,12,72.19596
5165863.0,12,72.276879
6532922.0,12,72.359102
8590509.0,12,72.44116
3986095.0,12,72.527733
5110360.0,12,72.608294
6783192.0,12,72.691548
7193019.0,12,72.774594
8581444.0,12,72.857368
6862896.0,12,72.944322
4769047.0,12,73.025944
5980913.0,12,73.118755
5389759.0,12,73.210377
8337664.0,12,73.301277
3899416.0,12,73.393818
7805669.0,12,73.480507
4795765.0,12,73.56986
12232003.0,12,73.660174
6486433.0,12,73.754643
6482330.0,12,73.846613
7347144.0,12,73.936463
5959809.0,12,74.025345
8896964.0,12,74.113961
2699385.0,12,74.204566
5980049.0,12,74.293719
6373680.0,12,74.384104
4458821.0,12,74.473026
6721319.0,12,74.564689
5145765.0,12,74.652764
10508993.0,12,74.745006
0.0,12,74.837082
7155479.0,12,74.928346
6073493.0,12,75.024052
4173535.0,12,75.11261
5376223.0,12,75.203297
3998548.0,12,75.299102
5143127.0,12,75.39905
1588247.0,12,75.498416
7145309.0,12,75.595519
10718082.0,12,75.691852
3158421.0,12,75.792538
3528023.0,12,75.886757
4576215.0,12,75.981824
5720264.0,12,76.077135
4848035.0,12,76.175431
4176688.0,12,88.252882
8992475.0,12,88.351268
6101163.0,12,88.44766
7098250.0,12,88.540669
7832445.0,12,88.637594
324.0,12,88.738368
5561387.0,12,88.834672
7812988.0,12,88.927584
7361635.0,12,89.022233
5024586.0,12,89.115835
4854795.0,12,89.21063
2750682.0,12,89.304498
5485958.0,12,89.398174
7308155.0,12,89.494478
10049301.0,12,89.589327
11126197.0,12,89.683694
4852536.0,12,89.77632
