#{"t_start": 1680827551.8887784, "env_id": "JPEGEncode-v0"}
r,l,t
5952850.0,12,10.115811
0.0,12,10.41765
6481573.0,12,10.734891
2466829.0,12,11.025002
2551953.0,12,11.3252
5047404.0,12,11.628009
4687494.0,12,11.92809
5476884.0,12,12.244483
5042599.0,12,12.544444
5227301.0,12,12.841705
6026089.0,12,13.14968
5623663.0,12,13.465129
2614599.0,12,13.78776
4207930.0,12,14.123095
6050956.0,12,14.416934
5039113.0,12,14.719246
8605840.0,12,15.024799
3607634.0,12,15.325077
0.0,12,15.625011
6324480.0,12,15.925586
5905988.0,12,16.230026
4216046.0,12,16.53264
5868770.0,12,16.847687
3538776.0,12,17.154937
7255101.0,12,17.456191
6178671.0,12,17.76526
5135187.0,12,18.06112
1032977.0,12,18.365297
5144455.0,12,18.668931
4530906.0,12,18.971938
6730581.0,12,19.272997
4173986.0,12,19.58439
4346056.0,12,19.878196
4828793.0,12,20.182042
4933313.0,12,20.48227
5417586.0,12,20.789389
5491665.0,12,21.08732
6130589.0,12,21.390152
10153549.0,12,21.693022
10211712.0,12,21.995365
6095997.0,12,22.297486
5270880.0,12,22.602292
3164884.0,12,22.904777
4310303.0,12,23.222707
5437339.0,12,23.508916
5922278.0,12,23.817106
5583642.0,12,24.117047
5070854.0,12,24.418544
7131439.0,12,24.719274
4168605.0,12,25.0223
5238995.0,12,25.323763
3493442.0,12,25.629423
4469182.0,12,25.930822
5040280.0,12,26.235107
3337660.0,12,26.536318
5528081.0,12,26.84112
11064557.0,12,27.136623
3857940.0,12,27.428353
5197718.0,12,27.719451
4139792.0,12,28.016152
4697401.0,12,28.305616
210.0,12,28.611871
4135192.0,12,28.889135
1767506.0,12,29.181474
4048635.0,12,29.467616
5928811.0,12,29.761044
11007202.0,12,30.051386
6398890.0,12,30.343455
3276271.0,12,30.635166
4783420.0,12,30.931478
5900674.0,12,31.220653
2395558.0,12,31.513268
5756302.0,12,31.804341
5768709.0,12,32.100889
4762014.0,12,32.390511
5097126.0,12,32.682563
3518224.0,12,32.973648
3108526.0,12,33.266209
3169889.0,12,33.557207
6680678.0,12,33.849634
2905688.0,12,34.136442
4325992.0,12,34.418769
7228657.0,12,34.697167
1917.0,12,34.978016
3918059.0,12,35.257956
3408421.0,12,68.211709
5381600.0,12,68.472527
7104696.0,12,68.733272
6422494.0,12,68.990439
4523828.0,12,69.25096
8937049.0,12,69.509269
4342299.0,12,69.771326
1049717.0,12,70.029652
3118108.0,12,70.292912
4504530.0,12,70.537994
1255811.0,12,70.792081
4973910.0,12,71.052452
12075068.0,12,71.296585
6035639.0,12,71.555449
6216668.0,12,71.806166
5483127.0,12,72.041819
6145460.0,12,72.30165
4419796.0,12,72.560959
10969027.0,12,72.816661
5327686.0,12,73.059959
5584887.0,12,73.314842
5520460.0,12,73.57261
5960196.0,12,73.82216
6650297.0,12,74.075932
9532968.0,12,74.336246
5504084.0,12,74.594401
1172551.0,12,74.85479
5753873.0,12,75.113582
3390061.0,12,75.374043
2786772.0,12,75.633719
7735946.0,12,75.895345
6102576.0,12,76.153797
8270622.0,12,76.415591
1967278.0,12,76.675583
4590209.0,12,76.936496
8295715.0,12,77.195983
6316026.0,12,77.456855
6192803.0,12,77.715497
5785557.0,12,77.968592
5704608.0,12,78.219247
5600044.0,12,78.480047
5383269.0,12,78.740219
7806018.0,12,78.998492
6919323.0,12,79.260238
6180804.0,12,79.517694
5894385.0,12,79.777562
1440754.0,12,80.034875
7638675.0,12,80.296556
5994663.0,12,80.543995
8323443.0,12,80.793381
5189624.0,12,81.059115
7041286.0,12,81.324095
6395321.0,12,81.584643
3678580.0,12,81.831327
5639579.0,12,82.071887
6710527.0,12,82.307012
8144248.0,12,82.531093
5144832.0,12,82.765394
6812917.0,12,82.998095
6723648.0,12,83.228993
5109252.0,12,83.462978
5211447.0,12,83.699131
6268496.0,12,83.93061
10573560.0,12,84.180856
10564635.0,12,84.416293
5251586.0,12,84.650562
2866298.0,12,84.888726
5353414.0,12,85.121531
371613.0,12,85.354913
6657449.0,12,85.590403
6364899.0,12,85.824337
5050975.0,12,86.05815
7227341.0,12,86.294499
6127709.0,12,86.528681
6021699.0,12,86.764595
6333187.0,12,86.996836
5548859.0,12,87.228596
7720576.0,12,87.46217
7362767.0,12,87.695804
4715099.0,12,87.930759
5671583.0,12,88.162282
5795559.0,12,88.376677
6738556.0,12,88.598418
6022632.0,12,88.822749
6478404.0,12,89.048711
6072761.0,12,116.665881
7247222.0,12,116.920877
5831490.0,12,117.178896
5313356.0,12,117.423839
5145669.0,12,117.68253
4671409.0,12,117.943475
3377815.0,12,118.203457
6758656.0,12,118.463719
6386889.0,12,118.709187
6682908.0,12,118.970143
4248154.0,12,119.231457
6438931.0,12,119.492476
5812349.0,12,119.738009
5520904.0,12,119.997618
6572448.0,12,120.258539
5310548.0,12,120.519524
5173838.0,12,120.780172
2440892.0,12,121.03357
901.0,12,121.283548
6050991.0,12,121.528329
6575060.0,12,121.772701
7980039.0,12,122.018113
5931605.0,12,122.261848
1378287.0,12,122.506017
4087838.0,12,122.768057
4556233.0,12,123.017927
5598723.0,12,123.280658
6296028.0,12,123.550915
9280624.0,12,123.818029
2310318.0,12,124.07277
4888870.0,12,124.338571
8739273.0,12,124.59638
6555135.0,12,124.853676
6766511.0,12,125.119067
9687424.0,12,125.365283
9632867.0,12,125.624626
