#{"t_start": 1680721463.3896792, "env_id": "JPEGEncode-v0"}
r,l,t
0.000553,12,0.169878
0.000643,12,0.199666
0.000545,12,0.227991
0.000454,12,0.255198
0.00056,12,0.284059
0.000645,12,0.311642
0.000671,12,0.340395
0.000608,12,0.368293
0.000511,12,0.396921
0.000619,12,0.424913
0.000568,12,0.453271
0.000624,12,0.480089
0.000612,12,0.507995
0.000708,12,0.536658
0.000503,12,0.564243
0.00047,12,0.594267
0.000477,12,0.6251
0.00061,12,0.653833
0.000685,12,0.684068
0.000698,12,0.714162
0.000735,12,0.74324
0.000511,12,0.771448
0.000471,12,0.798645
0.000539,12,0.82614
0.000599,12,0.853421
0.000451,12,0.87947
0.000621,12,0.906885
0.000474,12,0.93349
0.000536,12,0.959406
0.000588,12,0.985566
0.000525,12,1.012038
0.000486,12,1.038806
0.000599,12,1.065418
0.000532,12,1.091568
0.000548,12,1.119174
0.000641,12,1.146783
0.000679,12,1.176835
0.000545,12,1.205908
0.000509,12,1.234733
0.000653,12,1.262834
0.00056,12,1.289969
0.000489,12,1.316473
0.000583,12,1.343184
0.0006,12,1.37
0.000646,12,1.396755
0.000591,12,1.424782
0.000664,12,1.452717
0.000603,12,1.480684
0.000553,12,1.507511
0.000646,12,1.536112
0.000604,12,1.563915
0.000611,12,1.590468
0.000602,12,1.618918
0.000733,12,1.646411
0.000471,12,1.674669
0.000501,12,1.701311
0.000628,12,1.729447
0.000506,12,1.756974
0.000548,12,1.78422
0.000647,12,1.811969
0.000564,12,1.839439
0.00061,12,1.867658
0.000645,12,1.895753
0.000616,12,1.923546
0.000597,12,1.950482
0.00053,12,1.97665
0.000539,12,2.003772
0.000565,12,2.031132
0.000547,12,2.058765
0.000563,12,2.085015
0.000526,12,2.110848
0.00058,12,2.137888
0.000613,12,2.166346
0.000589,12,2.193633
0.000634,12,2.220425
0.000517,12,2.247552
0.000553,12,2.274426
0.000543,12,2.302535
0.000525,12,2.330712
0.000591,12,2.357226
0.000578,12,2.383325
0.00059,12,2.410229
0.000534,12,2.435829
0.000579,12,2.462648
0.000495,12,2.488728
0.000566,12,8.29028
0.000566,12,8.31568
0.001015,12,8.361902
0.000651,12,8.391177
0.000659,12,8.41796
0.000595,12,8.443827
0.000589,12,8.469658
0.000566,12,8.49527
0.000575,12,8.521026
0.000589,12,8.546632
0.000571,12,8.572065
0.000552,12,8.597714
0.000453,12,8.62279
0.000595,12,8.649483
0.000524,12,8.676388
0.000597,12,8.702047
0.000499,12,8.727668
0.000469,12,8.753131
0.000597,12,8.778913
0.000572,12,8.804386
0.000506,12,8.829441
0.000539,12,8.855128
0.00059,12,8.880537
0.00047,12,8.90597
0.000565,12,8.931564
0.000517,12,8.957167
0.000599,12,8.982832
0.000451,12,9.008152
0.000593,12,9.033955
0.000522,12,9.061157
0.000593,12,9.089029
0.000529,12,9.116423
0.000564,12,9.142292
0.000457,12,9.167366
0.000546,12,9.193022
0.000593,12,9.218819
0.000483,12,9.244245
0.000492,12,9.269522
0.000585,12,9.295115
0.000592,12,9.320789
0.000583,12,9.346291
0.000592,12,9.371732
0.000592,12,9.397258
0.000438,12,9.422662
0.000473,12,9.447899
0.000616,12,9.473046
0.000571,12,9.49822
0.000596,12,9.524593
0.000594,12,9.551094
0.000599,12,9.57833
0.000573,12,9.604354
0.000605,12,9.630925
0.000585,12,9.657357
0.000459,12,9.683072
0.000494,12,9.708636
0.000593,12,9.734526
0.000588,12,9.760033
0.000592,12,9.785528
0.000511,12,9.811205
0.000595,12,9.836981
0.000591,12,9.862423
0.000587,12,9.887848
0.000505,12,9.913173
0.000591,12,9.938755
0.000592,12,9.964435
0.000497,12,9.990508
0.000592,12,10.016223
0.000528,12,10.041603
0.000491,12,10.067074
0.000509,12,10.092256
0.000556,12,10.117799
0.000435,12,10.143096
0.000587,12,10.168663
0.000567,12,10.194094
0.000611,12,10.221319
0.000487,12,10.246831
0.000521,12,10.272759
0.000595,12,10.298132
0.000499,12,10.323451
0.000591,12,10.3489
0.00059,12,10.374695
0.000601,12,10.400291
0.000503,12,10.425804
0.000587,12,10.451246
0.000592,12,10.476647
0.000526,12,15.909061
0.000599,12,15.935547
0.000597,12,15.961322
0.000535,12,15.986741
0.000528,12,16.012081
0.000473,12,16.037183
0.000576,12,16.062599
0.000592,12,16.08828
0.000556,12,16.113676
0.000603,12,16.139365
0.000594,12,16.165136
0.000508,12,16.190718
0.000624,12,16.216613
0.000585,12,16.24214
0.000468,12,16.267438
0.000588,12,16.29292
0.000531,12,16.318545
0.000589,12,16.344457
0.000572,12,16.370212
0.000615,12,16.395903
0.000596,12,16.421569
0.000592,12,16.446741
0.000544,12,16.471759
0.000508,12,16.497247
0.00058,12,16.522725
0.000592,12,16.548203
0.000588,12,16.573998
0.00057,12,16.599549
0.000598,12,16.625415
0.000595,12,16.65185
0.000635,12,16.678563
0.000515,12,16.703826
0.000445,12,16.729133
0.000485,12,16.754444
0.000488,12,16.780098
0.000582,12,16.805697
0.000587,12,16.831429
0.00048,12,16.857068
0.000583,12,16.968321
0.000599,12,16.994226
0.000614,12,17.020793
0.000516,12,17.04707
0.00059,12,17.072835
0.000505,12,17.098581
0.000536,12,17.124231
0.000618,12,17.150303
0.000606,12,17.176322
0.000463,12,17.202325
0.000601,12,17.228223
0.000589,12,17.254271
0.000491,12,17.280114
0.000611,12,17.306153
0.000449,12,17.331999
0.000641,12,17.358469
0.000593,12,17.384795
0.000541,12,17.410898
0.000588,12,17.436702
0.000591,12,17.462592
0.000597,12,17.490178
0.000647,12,17.517744
0.000623,12,17.543419
0.000539,12,17.5693
0.000699,12,17.596391
0.000499,12,17.622054
0.000479,12,17.647783
0.00047,12,17.675658
0.000548,12,17.703434
0.000494,12,17.729402
0.000448,12,17.755354
0.000613,12,17.781467
0.000503,12,17.807326
0.000537,12,17.833143
0.000487,12,17.858556
0.000511,12,17.884332
0.000592,12,17.911078
0.00062,12,17.939332
0.000623,12,17.965558
0.000593,12,17.991464
0.000594,12,18.01755
0.000594,12,18.043529
0.00063,12,18.070242
0.000568,12,18.096394
0.000596,12,18.122418
0.000519,12,18.148019
0.000579,12,18.173894
0.000596,12,18.199969
0.000623,12,24.021884
0.000601,12,24.048062
0.000649,12,24.076276
0.000753,12,24.112369
0.000618,12,24.139837
0.000774,12,24.173594
0.000715,12,24.201366
0.00047,12,24.227769
0.000619,12,24.25582
0.00048,12,24.282454
0.000601,12,24.308752
0.000508,12,24.333979
0.000592,12,24.359865
0.000642,12,24.38686
0.000534,12,24.413122
0.000612,12,24.439295
0.000541,12,24.465102
0.000595,12,24.49071
0.000592,12,24.516541
0.000537,12,24.541837
0.000547,12,24.567609
0.000594,12,24.593401
0.000508,12,24.618912
0.000597,12,24.644761
0.000604,12,24.670691
0.000509,12,24.696334
0.000592,12,24.722048
0.000467,12,24.747648
0.000595,12,24.77332
0.000503,12,24.798571
0.000591,12,24.824151
0.000594,12,24.849904
0.000589,12,24.875295
0.000591,12,24.901206
0.0006,12,24.927177
0.000448,12,24.952606
0.000589,12,24.978311
0.000591,12,25.003842
0.000592,12,25.029711
0.000447,12,25.057311
0.00053,12,25.08412
0.000599,12,25.110985
0.000659,12,25.142016
0.000694,12,25.171432
0.000597,12,25.199602
0.000544,12,25.229551
0.0007,12,25.259015
0.000652,12,25.289313
0.00073,12,25.317649
0.000593,12,25.3458
0.000564,12,25.371573
0.000599,12,25.396923
0.00048,12,25.422338
0.000598,12,25.448074
0.00056,12,25.473878
0.000524,12,25.499677
0.000657,12,25.528479
0.000633,12,25.557328
0.0006,12,25.585536
0.00053,12,25.612774
0.000516,12,25.640809
