#{"t_start": 1682478421.752587, "env_id": "FuzzGym-v0"}
r,l,t
79.631433,11,4.211959
79.424798,11,4.748471
79.417656,11,5.309496
79.407907,11,5.842236
79.395309,11,6.327851
79.416389,11,6.886418
79.40471,11,7.42042
79.404718,11,7.899939
79.404818,11,8.409097
79.392026,11,8.910614
79.409601,11,9.418048
79.409601,11,9.924518
79.409763,11,10.462118
79.42304,11,11.017157
79.406912,11,11.580492
79.405733,11,12.072277
79.412992,11,12.611542
79.398075,11,13.116667
79.403936,11,13.623589
79.411106,11,14.14825
79.407924,11,14.6609
79.408531,11,15.201374
79.404348,11,15.719755
79.4091,11,16.236029
79.404504,11,16.764342
79.410837,11,17.303777
79.369581,11,17.75773
79.39957,11,18.272074
79.415987,11,18.804252
79.405113,11,19.283164
79.410624,11,19.810655
79.406846,11,20.324599
79.400907,11,20.83982
79.407827,11,21.390549
79.405733,11,21.902546
79.411578,11,22.411627
79.413051,11,22.946929
79.392238,11,23.440727
79.407687,11,23.942256
79.394339,11,24.429585
79.397947,11,24.91299
79.406057,11,25.4077
79.405894,11,25.946602
79.393231,11,26.4443
79.388272,11,26.932281
79.416185,11,27.485318
79.400996,11,28.005717
79.413809,11,28.535764
79.409714,11,29.074614
79.412123,11,29.592425
79.398462,11,30.091483
79.404061,11,30.600403
79.40766,11,31.11071
79.415315,11,31.634759
79.393105,11,32.120618
79.38269,11,32.627151
79.410276,11,33.171775
79.407676,11,33.686293
79.406727,11,34.205839
79.409152,11,34.724531
79.406098,11,35.234823
79.394078,11,35.74607
79.41296,11,36.298288
79.398335,11,36.815352
79.401766,11,37.323429
79.398791,11,37.809588
79.397832,11,38.273723
79.378578,11,38.714334
79.387711,11,39.135741
79.372461,11,39.574071
79.413408,11,40.108496
79.401684,11,40.609896
79.395642,11,41.121917
79.413761,11,41.667208
79.409501,11,42.190018
79.407647,11,42.724939
79.412108,11,43.255184
79.415314,11,43.806353
79.400026,11,44.297782
79.396323,11,44.801137
79.402073,11,45.34486
79.41546,11,45.908176
79.413935,11,46.437671
79.40302,11,46.955148
79.40315,11,47.471146
79.400801,11,47.978017
79.391938,11,48.447587
79.410932,11,48.954025
79.384623,11,49.45743
79.389312,11,49.881174
79.393726,11,50.314848
79.393258,11,50.792519
79.416893,11,51.323342
79.418153,11,56.604318
79.395399,11,57.099352
79.383103,11,57.563485
79.410272,11,58.081341
79.384314,11,58.558657
79.37973,11,59.021056
79.383957,11,59.442935
79.403287,11,59.885164
79.392515,11,60.393757
79.375821,11,60.815408
79.391845,11,61.288057
79.38257,11,61.699373
79.409632,11,62.186417
79.393563,11,62.661612
79.378377,11,63.134295
79.39478,11,63.603536
79.39479,11,64.070114
79.400683,11,64.553428
79.387286,11,65.008811
79.385238,11,65.442381
79.407558,11,65.947356
79.404787,11,66.458418
79.400872,11,66.944816
79.406036,11,67.441294
79.381069,11,67.887099
